record_num,timestamp,open,high,low,close,buy_count,sell_count,volume,volume_delta,cumulative_volume_delta,cumulative_volume
607,2025-06-12 04:29:00,6047.75,6048.00,6047.25,6047.75,21,18,39,3,-824,16157
608,2025-06-12 04:30:00,6047.75,6048.00,6046.75,6047.50,43,22,65,21,-803,16222
609,2025-06-12 04:31:00,6048.00,6048.00,6045.25,6045.75,22,39,61,-17,-820,16283
610,2025-06-12 04:32:00,6046.00,6046.75,6045.50,6046.00,25,20,45,5,-815,16328
611,2025-06-12 04:33:00,6046.25,6047.25,6046.25,6047.25,7,9,16,-2,-817,16344
612,2025-06-12 04:34:00,6047.50,6047.75,6046.25,6046.25,51,64,115,-13,-830,16459
613,2025-06-12 04:35:00,6046.25,6046.25,6044.50,6044.75,60,59,119,1,-829,16578
614,2025-06-12 04:36:00,6045.00,6045.50,6044.50,6045.00,26,11,37,15,-814,16615
615,2025-06-12 04:37:00,6045.00,6047.00,6045.00,6047.00,12,14,26,-2,-816,16641
616,2025-06-12 04:38:00,6047.25,6047.75,6046.50,6047.00,31,20,51,11,-805,16692
617,2025-06-12 04:39:00,6047.00,6047.50,6046.25,6046.25,15,21,36,-6,-811,16728
618,2025-06-12 04:40:00,6046.75,6049.75,6046.75,6049.50,35,21,56,14,-797,16784
619,2025-06-12 04:41:00,6049.25,6050.50,6049.25,6049.75,18,15,33,3,-794,16817
620,2025-06-12 04:42:00,6050.00,6050.50,6049.25,6050.50,15,18,33,-3,-797,16850
621,2025-06-12 04:43:00,6050.50,6051.75,6050.25,6051.50,21,21,42,0,-797,16892
622,2025-06-12 04:44:00,6051.75,6051.75,6050.50,6050.50,8,10,18,-2,-799,16910
623,2025-06-12 04:45:00,6050.50,6050.50,6049.50,6049.75,6,7,13,-1,-800,16923
624,2025-06-12 04:46:00,6049.75,6051.00,6049.75,6051.00,10,10,20,0,-800,16943
625,2025-06-12 04:47:00,6051.25,6054.00,6051.25,6053.75,74,39,113,35,-765,17056
626,2025-06-12 04:48:00,6053.25,6053.75,6053.25,6053.75,11,11,22,0,-765,17078
627,2025-06-12 04:49:00,6054.25,6055.50,6054.25,6055.25,16,19,35,-3,-768,17113
628,2025-06-12 04:50:00,6055.00,6055.50,6055.00,6055.50,9,8,17,1,-767,17130
629,2025-06-12 04:51:00,6055.75,6056.00,6055.25,6055.50,16,13,29,3,-764,17159
